Question,LC#,Category,Topic,Pattern,Company,Difficulty,Status,Date,Attempts,Notes
In-place Array Reordering (0:1:2 sort variant),company wise/amazon/1p3a/In-place Array Reordering (0:1:2 sort variant).md,coding,,,amazon,,not-started,,,
In-place merge of two sorted arrays (arr2 into arr1),company wise/amazon/1p3a/In-place merge of two sorted arrays (arr2 into arr1).md,coding,,,amazon,,not-started,,,
K Highest Probability Winners in Lottery System,company wise/amazon/1p3a/K Highest Probability Winners in Lottery System.md,coding,,,amazon,,not-started,,,
Layer Problem Implementation,company wise/amazon/1p3a/Layer Problem Implementation.md,coding,,,amazon,,not-started,,,
Lazy Array,company wise/amazon/1p3a/Lazy Array.md,coding,,,amazon,,not-started,,,
Longest Mountain in Array (or Valid Mountain Array variant),company wise/amazon/1p3a/Longest Mountain in Array (or Valid Mountain Array variant).md,coding,,,amazon,,not-started,,,
Longest Substring Without Repeating Characters,company wise/amazon/1p3a/Longest Substring Without Repeating Characters.md,coding,,,amazon,,not-started,,,
Lowest Common Ancestor of a Binary Tree,company wise/amazon/1p3a/Lowest Common Ancestor of a Binary Tree.md,coding,,,amazon,,not-started,,,
Max Consecutive ON Servers,company wise/amazon/1p3a/Max Consecutive ON Servers.md,coding,,,amazon,,not-started,,,
Max Protected Population After One-Step Left Relocation,company wise/amazon/1p3a/Max Protected Population After One-Step Left Relocation.md,coding,,,amazon,,not-started,,,
Max protected population by moving guards left at most once,company wise/amazon/1p3a/Max protected population by moving guards left at most once.md,coding,,,amazon,,not-started,,,
Max-Inventory Rental Revenue (Repeatedly Pick Current Maximum),company wise/amazon/1p3a/Max-Inventory Rental Revenue (Repeatedly Pick Current Maximum).md,coding,,,amazon,,not-started,,,
Maxdiff Value of Connected Components in Graph,company wise/amazon/1p3a/Maxdiff Value of Connected Components in Graph.md,coding,,,amazon,,not-started,,,
Maximize Completed Tasks with Additional Time (Greedy by Remaining Time),company wise/amazon/1p3a/Maximize Completed Tasks with Additional Time (Greedy by Remaining Time).md,coding,,,amazon,,not-started,,,
Maximize Memory Capacity,company wise/amazon/1p3a/Maximize Memory Capacity.md,coding,,,amazon,,not-started,,,
Maximum Memory in Region A,company wise/amazon/1p3a/Maximum Memory in Region A.md,coding,,,amazon,,not-started,,,
Maximum Primary Memory Sum,company wise/amazon/1p3a/Maximum Primary Memory Sum.md,coding,,,amazon,,not-started,,,
Median Rating of Most Recent N Comments,company wise/amazon/1p3a/Median Rating of Most Recent N Comments.md,coding,,,amazon,,not-started,,,
Memory Size Calculation for DDN Model Structure,company wise/amazon/1p3a/Memory Size Calculation for DDN Model Structure.md,coding,,,amazon,,not-started,,,
Merge Intervals,company wise/amazon/1p3a/Merge Intervals.md,coding,,,amazon,,not-started,,,
Minimize Increments for Non-Decreasing Order,company wise/amazon/1p3a/Minimize Increments for Non-Decreasing Order.md,coding,,,amazon,,not-started,,,
Minimize Inventory Price Adjustments,company wise/amazon/1p3a/Minimize Inventory Price Adjustments.md,coding,,,amazon,,not-started,,,
Minimum Cost to Convert All 1s to 0s with Fixed-Length Window Operations,company wise/amazon/1p3a/Minimum Cost to Convert All 1s to 0s with Fixed-Length Window Operations.md,coding,,,amazon,,not-started,,,
Minimum Emergency Restock Days Under Inventory Bounds with Checkpoints,company wise/amazon/1p3a/Minimum Emergency Restock Days Under Inventory Bounds with Checkpoints.md,coding,,,amazon,,not-started,,,
Minimum Groups with Max Difference Constraint,company wise/amazon/1p3a/Minimum Groups with Max Difference Constraint.md,coding,,,amazon,,not-started,,,
Minimum Operations to Make Array Non-decreasing,company wise/amazon/1p3a/Minimum Operations to Make Array Non-decreasing.md,coding,,,amazon,,not-started,,,
Minimum Total Increment to Make Array Non-decreasing (Range Increment Operations),company wise/amazon/1p3a/Minimum Total Increment to Make Array Non-decreasing (Range Increment Operations).md,coding,,,amazon,,not-started,,,
Minimum global-replace operations to make all values form contiguous blocks,company wise/amazon/1p3a/Minimum global-replace operations to make all values form contiguous blocks.md,coding,,,amazon,,not-started,,,
Morse Code Encoder:Decoder with Dictionary-Based Segmentation,company wise/amazon/1p3a/Morse Code Encoder:Decoder with Dictionary-Based Segmentation.md,coding,,,amazon,,not-started,,,
Multi-source BFS,company wise/amazon/1p3a/Multi-source BFS.md,coding,,,amazon,,not-started,,,
Number of Digit One,company wise/amazon/1p3a/Number of Digit One.md,coding,,,amazon,,not-started,,,
Number of Islands,company wise/amazon/1p3a/Number of Islands.md,coding,,,amazon,,not-started,,,
Optimize Box IDs to Lexicographically Minimum String,company wise/amazon/1p3a/Optimize Box IDs to Lexicographically Minimum String.md,coding,,,amazon,,not-started,,,
Path Output Starting from Any Node,company wise/amazon/1p3a/Path Output Starting from Any Node.md,coding,,,amazon,,not-started,,,
Per-User Minimum Time Difference Between Orders and Ads Events (Two Sorted Lists),company wise/amazon/1p3a/Per-User Minimum Time Difference Between Orders and Ads Events (Two Sorted Lists).md,coding,,,amazon,,not-started,,,
Prefix Equal-Frequency Block Partition Count,company wise/amazon/1p3a/Prefix Equal-Frequency Block Partition Count.md,coding,,,amazon,,not-started,,,
Print Every Odd Number from a List,company wise/amazon/1p3a/Print Every Odd Number from a List.md,coding,,,amazon,,not-started,,,
Product of Array Except Self,company wise/amazon/1p3a/Product of Array Except Self.md,coding,,,amazon,,not-started,,,
Random Pick with Weight,company wise/amazon/1p3a/Random Pick with Weight.md,coding,,,amazon,,not-started,,,
Recursive Schema Validation for JSON-like Data,company wise/amazon/1p3a/Recursive Schema Validation for JSON-like Data.md,coding,,,amazon,,not-started,,,
Repeat N operations- add min+max,"company wise/amazon/1p3a/Repeat N operations- add min+max, then decrement max.md",coding,,,amazon,,not-started,,,
Serialize and Deserialize Binary Tree,company wise/amazon/1p3a/Serialize and Deserialize Binary Tree.md,coding,,,amazon,,not-started,,,
Server Request,company wise/amazon/1p3a/Server Request.md,coding,,,amazon,,not-started,,,
Shortest Distance Between Two Islands,company wise/amazon/1p3a/Shortest Distance Between Two Islands.md,coding,,,amazon,,not-started,,,
Simplified Top-K,company wise/amazon/1p3a/Simplified Top-K.md,coding,,,amazon,,not-started,,,
Sort Elements by Frequency,company wise/amazon/1p3a/Sort Elements by Frequency.md,coding,,,amazon,,not-started,,,
Sort Error Codes by Increasing Frequency (tie by smaller value),company wise/amazon/1p3a/Sort Error Codes by Increasing Frequency (tie by smaller value).md,coding,,,amazon,,not-started,,,
Sum of Positive Differences (Greedy One-Pass),company wise/amazon/1p3a/Sum of Positive Differences (Greedy One-Pass).md,coding,,,amazon,,not-started,,,
Sum to the Target,company wise/amazon/1p3a/Sum to the Target.md,coding,,,amazon,,not-started,,,
Top K Frequent Elements,company wise/amazon/1p3a/Top K Frequent Elements.md,coding,,,amazon,,not-started,,,
Top K Pages by Click Count,company wise/amazon/1p3a/Top K Pages by Click Count.md,coding,,,amazon,,not-started,,,
Topological Ordering for Course Prerequisites,company wise/amazon/1p3a/Topological Ordering for Course Prerequisites.md,coding,,,amazon,,not-started,,,
Topological Sort : Dependency Resolution,company wise/amazon/1p3a/Topological Sort : Dependency Resolution.md,coding,,,amazon,,not-started,,,
Topological Sort for Course Ordering (Course Schedule II-like),company wise/amazon/1p3a/Topological Sort for Course Ordering (Course Schedule II-like).md,coding,,,amazon,,not-started,,,
VM Rental Revenue,company wise/amazon/1p3a/VM Rental Revenue.md,coding,,,amazon,,not-started,,,
Validate Items Edge in a Directed Graph,company wise/amazon/1p3a/Validate Items Edge in a Directed Graph.md,coding,,,amazon,,not-started,,,
Wet Points in 2D Terrain,company wise/amazon/1p3a/Wet Points in 2D Terrain.md,coding,,,amazon,,not-started,,,
Word Break- Return All Possible Sentences,company wise/amazon/1p3a/Word Break- Return All Possible Sentences.md,coding,,,amazon,,not-started,,,
Minimum Remove to Make Valid Parentheses,1249,coding,,,meta,,not-started,,,
Valid Word Abbreviation,408,coding,,,meta,,not-started,,,
Valid Palindrome II,680,coding,,,meta,,not-started,,,
Kth Largest Element in an Array,215,coding,,,meta,,not-started,,,
Binary Tree Vertical Order Traversal,314,coding,,,meta,,not-started,,,
Diameter of Binary Tree,543,coding,,,meta,,not-started,,,
Binary Tree Right Side View,199,coding,,,meta,,not-started,,,
Lowest Common Ancestor of a Binary Tree III,1650,coding,,,meta,,not-started,,,
Basic Calculator II,227,coding,,,meta,,not-started,,,
Buildings With an Ocean View,1762,coding,,,meta,,not-started,,,
Subarray Sum Equals K,560,coding,,,meta,,not-started,,,
Nested List Weight Sum,339,coding,,,meta,,not-started,,,
Lowest Common Ancestor of a Binary Tree,236,coding,,,meta,,not-started,,,
Random Pick with Weight,528,coding,,,meta,,not-started,,,
Valid Palindrome,125,coding,,,meta,,not-started,,,
Two Sum,1,coding,,,meta,,not-started,,,
Merge Intervals,56,coding,,,meta,,not-started,,,
"Pow(x, n)",50,coding,,,meta,,not-started,,,
Find Peak Element,162,coding,,,meta,,not-started,,,
Shortest Path in Binary Matrix,1091,coding,,,meta,,not-started,,,
Copy List with Random Pointer,138,coding,,,meta,,not-started,,,
Top K Frequent Elements,347,coding,,,meta,,not-started,,,
Merge Sorted Array,88,coding,,,meta,,not-started,,,
Simplify Path,71,coding,,,meta,,not-started,,,
Sum Root to Leaf Numbers,129,coding,,,meta,,not-started,,,
Next Permutation,31,coding,,,meta,,not-started,,,
Range Sum of BST,938,coding,,,meta,,not-started,,,
Lru Cache,146,coding,,,meta,,not-started,,,
K Closest Points to Origin,973,coding,,,meta,,not-started,,,
Merge k Sorted Lists,23,coding,,,meta,,not-started,,,
Best Time to Buy and Sell Stock,121,coding,,,meta,,not-started,,,
Moving Average from Data Stream,346,coding,,,meta,,not-started,,,
Making A Large Island,827,coding,,,meta,,not-started,,,
Minimum Add to Make Parentheses Valid,921,coding,,,meta,,not-started,,,
Find First and Last Position of Element in Sorted Array,34,coding,,,meta,,not-started,,,
Dot Product of Two Sparse Vectors,1570,coding,,,meta,,not-started,,,
Interval List Intersections,986,coding,,,meta,,not-started,,,
Maximum Swap,670,coding,,,meta,,not-started,,,
Custom Sort String,791,coding,,,meta,,not-started,,,
Minimum Window Substring,76,coding,,,meta,,not-started,,,
Max Consecutive Ones III,1004,coding,,,meta,,not-started,,,
Clone Graph,133,coding,,,meta,,not-started,,,
All Nodes Distance K in Binary Tree,863,coding,,,meta,,not-started,,,
Valid Number,65,coding,,,meta,,not-started,,,
Diagonal Traverse,498,coding,,,meta,,not-started,,,
Kth Missing Positive Number,1539,coding,,,meta,,not-started,,,
Sliding Window Median,480,coding,,,meta,,not-started,,,
Insert into a Sorted Circular Linked List,708,coding,,,meta,,not-started,,,
Vertical Order Traversal of a Binary Tree,987,coding,,,meta,,not-started,,,
Remove Nth Node From End of List,19,coding,,,meta,,not-started,,,
Add Strings,415,coding,,,meta,,not-started,,,
Exclusive Time of Functions,636,coding,,,meta,,not-started,,,
Robot Room Cleaner,489,coding,,,meta,,not-started,,,
Group Shifted Strings,249,coding,,,meta,,not-started,,,
Valid Parentheses,20,coding,,,meta,,not-started,,,
Kth Smallest Element in a Sorted Matrix,378,coding,,,meta,,not-started,,,
Course Schedule,207,coding,,,meta,,not-started,,,
Contains Duplicate II,219,coding,,,meta,,not-started,,,
Continuous Subarray Sum,523,coding,,,meta,,not-started,,,
Closest Binary Search Tree Value,270,coding,,,meta,,not-started,,,
Expression Add Operators,282,coding,,,meta,,not-started,,,
Palindromic Substrings,647,coding,,,meta,,not-started,,,
Accounts Merge,721,coding,,,meta,,not-started,,,
Add Two Numbers,2,coding,,,meta,,not-started,,,
Median of Two Sorted Arrays,4,coding,,,meta,,not-started,,,
String to Integer (atoi),8,coding,,,meta,,not-started,,,
Binary Search Tree Iterator,173,coding,,,meta,,not-started,,,
Construct Binary Tree from String,536,coding,,,meta,,not-started,,,
Longest Common Prefix,14,coding,,,meta,,not-started,,,
Remove Duplicates from Sorted Array,26,coding,,,meta,,not-started,,,
Number of Islands,200,coding,,,meta,,not-started,,,
3Sum,15,coding,,,meta,,not-started,,,
Strobogrammatic Number,246,coding,,,meta,,not-started,,,
Find Median from Data Stream,295,coding,,,meta,,not-started,,,
Decode String,394,coding,,,meta,,not-started,,,
Random Pick Index,398,coding,,,meta,,not-started,,,
Convert Binary Search Tree to Sorted Doubly Linked List,426,coding,,,meta,,not-started,,,
Goat Latin,824,coding,,,meta,,not-started,,,
Car Pooling,1094,coding,,,meta,,not-started,,,
Remove Invalid Parentheses,301,coding,,,meta,,not-started,,,
Check Completeness of a Binary Tree,958,coding,,,meta,,not-started,,,
Squares of a Sorted Array,977,coding,,,meta,,not-started,,,
Longest Substring Without Repeating Characters,3,coding,,,meta,,not-started,,,
Longest Palindromic Substring,5,coding,,,meta,,not-started,,,
Maximum Subarray,53,coding,,,meta,,not-started,,,
Set Matrix Zeroes,73,coding,,,meta,,not-started,,,
Missing Ranges,163,coding,,,meta,,not-started,,,
Russian Doll Envelopes,354,coding,,,meta,,not-started,,,
Can Place Flowers,605,coding,,,meta,,not-started,,,
Remove All Adjacent Duplicates In String,1047,coding,,,meta,,not-started,,,
Valid Palindrome III,1216,coding,,,meta,,not-started,,,
Find the Most Common Response,3527,coding,,,meta,,not-started,,,
Merge Strings Alternately,1768,coding,,,meta,,not-started,,,
Cutting Ribbons,1891,coding,,,meta,,not-started,,,
Palindrome Number,9,coding,,,meta,,not-started,,,
Climbing Stairs,70,coding,,,meta,,not-started,,,
Best Time to Buy and Sell Stock III,123,coding,,,meta,,not-started,,,
Binary Tree Maximum Path Sum,124,coding,,,meta,,not-started,,,
Word Ladder,127,coding,,,meta,,not-started,,,
Longest Substring with At Most Two Distinct Characters,159,coding,,,meta,,not-started,,,
Count Nodes Equal to Average of Subtree,2265,coding,,,meta,,not-started,,,
Design Tic-Tac-Toe,348,coding,,,meta,,not-started,,,
Minimum Deletions for At Most K Distinct Characters,3545,coding,,,meta,,not-started,,,
Sort Colors,75,coding,,,meta,,not-started,,,
Find Pivot Index,724,coding,,,meta,,not-started,,,
Capacity To Ship Packages Within D Days,1011,coding,,,meta,,not-started,,,
Missing Element in Sorted Array,1060,coding,,,meta,,not-started,,,
Merge Two Sorted Lists,21,coding,,,meta,,not-started,,,
Search in Rotated Sorted Array,33,coding,,,meta,,not-started,,,
Group Anagrams,49,coding,,,meta,,not-started,,,
Subsets,78,coding,,,meta,,not-started,,,
Best Time to Buy and Sell Stock II,122,coding,,,meta,,not-started,,,
Word Ladder II,126,coding,,,meta,,not-started,,,
Majority Element,169,coding,,,meta,,not-started,,,
Meeting Rooms II,253,coding,,,meta,,not-started,,,
Alien Dictionary,269,coding,,,meta,,not-started,,,
Minesweeper,529,coding,,,meta,,not-started,,,
Delete Nodes And Return Forest,1110,coding,,,meta,,not-started,,,
Recyclable and Low Fat Products,1757,coding,,,meta,,not-started,,,
Add Binary,67,coding,,,meta,,not-started,,,
Search a 2D Matrix,74,coding,,,meta,,not-started,,,
Binary Tree Inorder Traversal,94,coding,,,meta,,not-started,,,
Lowest Common Ancestor of a Binary Search Tree,235,coding,,,meta,,not-started,,,
Sliding Window Maximum,239,coding,,,meta,,not-started,,,
Range Sum Query - Immutable,303,coding,,,meta,,not-started,,,
Add Two Integers,2235,coding,,,meta,,not-started,,,
Create Hello World Function,2667,coding,,,meta,,not-started,,,
Koko Eating Bananas,875,coding,,,meta,,not-started,,,
Shortest Bridge,934,coding,,,meta,,not-started,,,
Trapping Rain Water,42,coding,,,meta,,not-started,,,
Populating Next Right Pointers in Each Node,116,coding,,,meta,,not-started,,,
Word Break,139,coding,,,meta,,not-started,,,
Sort List,148,coding,,,meta,,not-started,,,
Two Sum II - Input Array Is Sorted,167,coding,,,meta,,not-started,,,
Finding 3-Digit Even Numbers,2094,coding,,,meta,,not-started,,,
Rotate Array,189,coding,,,meta,,not-started,,,
Happy Number,202,coding,,,meta,,not-started,,,
Strobogrammatic Number II,247,coding,,,meta,,not-started,,,
Serialize and Deserialize Binary Tree,297,coding,,,meta,,not-started,,,
Shortest Distance from All Buildings,317,coding,,,meta,,not-started,,,
Battleships in a Board,419,coding,,,meta,,not-started,,,
Inorder Successor in BST II,510,coding,,,meta,,not-started,,,
Maximum Average Subarray I,643,coding,,,meta,,not-started,,,
Find K Closest Elements,658,coding,,,meta,,not-started,,,
Friends Of Appropriate Ages,825,coding,,,meta,,not-started,,,
Product of Two Run-Length Encoded Arrays,1868,coding,,,meta,,not-started,,,
Container With Most Water,11,coding,,,meta,,not-started,,,
Generate Parentheses,22,coding,,,meta,,not-started,,,
Plus One,66,coding,,,meta,,not-started,,,
Text Justification,68,coding,,,meta,,not-started,,,
Palindrome Linked List,234,coding,,,meta,,not-started,,,
Product of Array Except Self,238,coding,,,meta,,not-started,,,
Longest Increasing Path in a Matrix,329,coding,,,meta,,not-started,,,
Insert Delete GetRandom O(1),380,coding,,,meta,,not-started,,,
The Maze,490,coding,,,meta,,not-started,,,
Toeplitz Matrix,766,coding,,,meta,,not-started,,,
Remove All Adjacent Duplicates in String II,1209,coding,,,meta,,not-started,,,
Zigzag Conversion,6,coding,,,meta,,not-started,,,
Reverse Integer,7,coding,,,meta,,not-started,,,
Roman to Integer,13,coding,,,meta,,not-started,,,
Letter Combinations of a Phone Number,17,coding,,,meta,,not-started,,,
