Problem,LC#,Status,Date,Tag,Notes,
LFU Cache,460,Not Started,,Design,Google favorite,
Design In-Memory File System,588,Not Started,,Design,Trie-based,
Design Search Autocomplete System,642,Solved,,Design,Already done,
Snapshot Array,1146,Not Started,,Design,Google tagged,
Design Hit Counter,362,Not Started,,Design,,
Iterator for Combination,1286,Not Started,,Design,Iterator pattern,
The Skyline Problem,218,Solved,04jun2026,Geometry / Line Sweep,Line sweep + heap,
Rectangle Area II,850,Not Started,,Geometry / Line Sweep,Line sweep + segment tree,
Max Points on a Line,149,Not Started,,Geometry / Line Sweep,GCD based,
Minimum Number of Arrows to Burst Balloons,452,Not Started,,Geometry / Line Sweep,Greedy sweep,
Maximum Frequency Stack,895,Not Started,,Stack + HashMap,Stack + HashMap,
Split Array Largest Sum,410,Not Started,,Binary Search,Binary Search + Greedy,
Median of Two Sorted Arrays,4,Solved,,Binary Search,Revisit for under 10 min,
Count Different Palindromic Subsequences,730,Not Started,,DP,DP,
Minimum Window Subsequence,727,Solved,,Sliding Window,Already done,
Race Car,818,Not Started,,BFS / DP,BFS / DP,
Strobogrammatic Number III,248,Not Started,,Recursion,Recursion,
Minimize Max Distance to Gas Station,774,Not Started,,Binary Search,Binary Search,
Maximum Sum of 3 Non-Overlapping Subarrays,689,Not Started,,DP / Prefix Sum,DP,
Campus Bikes II,1066,Not Started,,Bitmask DP,Bitmask DP / Hungarian,
Longest String Chain,1048,Not Started,,DP,DP,
Number of Atoms,726,Not Started,,Stack / Parsing,Stack + Parsing,
Flip Equivalent Binary Trees,951,Not Started,,Trees,Recursion,
Minimum Area Rectangle,939,Not Started,,Geometry / Hash,HashSet,
Odd Even Jump,975,Not Started,,Monotonic Stack / DP,Monotonic stack + DP,
Most Stones Removed with Same Row or Column,947,Not Started,,Graph (Union-Find),Union-Find,
Robot Room Cleaner,489,Solved,15may2025,Backtracking,DFS + backtrack,
Detect Squares,2013,Not Started,,Design / Hash,HashMap,
Amount of New Area Painted Each Day,2158,Not Started,,Segment Tree,Segment tree / sorted set,
Step-By-Step Directions From a Binary Tree Node to Another,2096,Not Started,,Trees / LCA,LCA,
Combination Sum,39,Solved,19feb2026,Backtracking,classic backtrack template,
Number Of Beautiful Partitions,2478,Solved,19feb2026, dp, TODO,
Count K Subsequences Of A String With Maximum Beauty,2842,Solved,20feb2026, greedy, hard..mathmod,
Burst Ballons,312,Solved,15mar2026, dp,,
Design Excel Sum,631,Solved,28mar2026,,,
Best Meeting Point,296,Solved,10apr2026,,,
Contains Duplicate,220,Solved,01may2026,,,
Smallest Team,1125,Solved,10apr2026,,,
Permutation Sequence,60,Solved,11apr2026,,,
Maximal Square,221,Solved,15jul2026,Array / Dynamic Programming,Medium,
K-th Smallest in Lexicographical Order,440,Solved,29jun2026,Trie,Hard,
Maximum XOR With an Element From Array,1707,Solved,29jun2026,Array / Bit Manipulation,Hard,
Make Array Non-decreasing or Non-increasing,2263,Solved,29jun2026,Array / Dynamic Programming,Hard,
Delete Duplicate Folders in System,1948,Solved,27jun2026,Array / Hash Table,Hard,
Number of Ways to Reorder Array to Get Same BST,1569,Solved,21jun2026,Array / Math,Hard,
Special Binary String,761,Solved,10jun2026,String / Divide and Conquer,Hard,
Tweet Counts Per Frequency,1348,Solved,08jun2026,Hash Table / String,Medium,
Reverse Pairs,493,Solved,08jun2026,Array / Binary Search,Hard,
Max Sum of Rectangle No Larger Than K,363,Solved,07jun2026,Array / Binary Search,Hard,
Frog Jump,403,Solved,06jun2026,Array / Dynamic Programming,Hard,
Patching Array,330,Solved,04jun2026,Array / Greedy,Hard,
Number of Ways to Paint N × 3 Grid,1411,Solved,23may2026,Dynamic Programming,Hard,
Kth Smallest Product of Two Sorted Arrays,2040,Solved,22may2026,Array / Binary Search,Hard,
Bus Routes,815,Solved,22may2026,Array / Hash Table,Hard,
Count Paths That Can Form a Palindrome in a Tree,2791,Solved,22may2026,Hash Table / Bit Manipulation,Hard,
Maximum Sum BST in Binary Tree,1373,Solved,21may2026,Dynamic Programming / Tree,Hard,
Count Good Triplets in an Array,2179,Solved,21may2026,Array / Binary Search,Hard,
Count Good Triplets,1534,Solved,21may2026,Array / Enumeration,Easy,
Read N Characters Given read4 II - Call Multiple Times,158,Solved,17may2026,Array / Simulation,Hard,
Lexicographically Smallest String After Reverse II,3735,Solved,17may2026,String / Binary Search,Hard,
Sum of Scores of Built Strings,2223,Solved,14may2026,String / Binary Search,Hard,
Shortest Uncommon Substring in an Array,3076,Solved,14may2026,Array / Hash Table,Medium,
Text Justification,68,Solved,01may2026,Array / String,Hard,
Trapping Rain Water,42,Solved,01may2026,Array / Two Pointers,Hard,
Regular Expression Matching,10,Solved,01may2026,String / Dynamic Programming,Hard,
Find Median from Data Stream,295,Solved,27apr2026,Two Pointers / Design,Hard,
Employee Free Time,759,Solved,26apr2026,Array / Sweep Line,Hard,
Closest Prime Numbers in Range,2523,Solved,16apr2026,Math / Number Theory,Medium,
Fruit Into Baskets,904,Solved,16apr2026,Array / Hash Table,Medium,
Shopping Offers,638,Solved,16apr2026,Array / Dynamic Programming,Medium,
Pour Water,755,Solved,16apr2026,Array / Simulation,Medium,
Nth Digit,400,Solved,16apr2026,Math / Binary Search,Medium,
Design Circular Queue,622,Solved,16apr2026,Array / Linked List,Medium,
Smallest Common Region,1257,Solved,07apr2026,Array / Hash Table,Medium,
Minimize Rounding Error to Meet Target,1058,Solved,07apr2026,Array / Math,Medium,
Minimum Cost For Tickets,983,Solved,06apr2026,Array / Dynamic Programming,Medium,
Shortest Path to Get All Keys,864,Solved,27mar2026,Array / Bit Manipulation,Hard,
Design Spreadsheet,3484,Solved,27mar2026,Array / Hash Table,Medium,
Minimum Operations to Reduce an Integer to 0,2571,Solved,22feb2026,Dynamic Programming / Greedy,Medium,
Word Squares,425,Solved,20feb2026,Array / String,Hard,
Serialize and Deserialize N-ary Tree,428,Solved,20feb2026,String / Tree,Hard,
Minimum White Tiles After Covering With Carpets,2209,Solved,18feb2026,String / Dynamic Programming,Hard,
Minimum Cost to Change the Final Value of Expression,1896,Solved,18feb2026,Math / String,Hard,
Minimum Unique Word Abbreviation,411,Solved,17feb2026,Array / String,Hard,
Longest Chunked Palindrome Decomposition,1147,Solved,11feb2026,Two Pointers / String,Hard,
Brace Expansion II,1096,Solved,10feb2026,Hash Table / String,Hard,
Word Abbreviation,527,Solved,09feb2026,Array / String,Hard,
Encode String with Shortest Length,471,Solved,09feb2026,String / Dynamic Programming,Hard,
String Transformation,2851,Solved,08feb2026,Math / String,Hard,
Parsing A Boolean Expression,1106,Solved,03feb2026,String / Stack,Hard,
K-Similar Strings,854,Solved,03feb2026,Hash Table / String,Hard,
Similar String Groups,839,Solved,23jan2026,Array / Hash Table,Hard,
Number of Unique Good Subsequences,1987,Solved,16jan2026,String / Dynamic Programming,Hard,
Stone Game III,1406,Solved,31dec2025,Array / Math,Hard,
Expression Add Operators,282,Solved,25dec2025,Math / String,Hard,
Basic Calculator III,772,Solved,24dec2025,Math / String,Hard,
Basic Calculator,224,Solved,24dec2025,Math / String,Hard,
Wildcard Matching,44,Solved,11nov2025,String / Dynamic Programming,Hard,
Cherry Pickup,741,Solved,08nov2025,Array / Dynamic Programming,Hard,
Minimum Time to Visit a Cell In a Grid,2577,Solved,06nov2025,Array / Breadth-First Search,Hard,
High-Access Employees,2933,Solved,28oct2025,Array / Hash Table,Medium,
Rank Teams by Votes,1366,Solved,28oct2025,Array / Hash Table,Medium,
IP to CIDR,751,Solved,28oct2025,String / Bit Manipulation,Medium,
Design Snake Game,353,Solved,27oct2025,Array / Hash Table,Medium,
Serialize and Deserialize Binary Tree,297,Solved,28aug2025,String / Tree,Hard,
Longest Consecutive Sequence,128,Solved,28aug2025,Array / Hash Table,Medium,
Pow(x, n),50,Solved,28aug2025,Math / Recursion,Medium,
Lowest Common Ancestor of a Binary Tree,236,Solved,27aug2025,Tree / Depth-First Search,Medium,
Can Place Flowers,605,Solved,27aug2025,Array / Greedy,Easy,
Shortest Bridge,934,Solved,27aug2025,Array / Depth-First Search,Medium,
Construct Binary Tree from String,536,Solved,27aug2025,String / Stack,Medium,
Squares of a Sorted Array,977,Solved,27aug2025,Array / Two Pointers,Easy,
Sliding Window Median,480,Solved,26aug2025,Array / Hash Table,Hard,
Lowest Common Ancestor of a Binary Tree III,1650,Solved,21aug2025,Hash Table / Two Pointers,Medium,
Minimum Remove to Make Valid Parentheses,1249,Solved,20aug2025,String / Stack,Medium,
Reverse Words in a String,151,Solved,18aug2025,Two Pointers / String,Medium,
Find K Closest Elements,658,Solved,18aug2025,Array / Two Pointers,Medium,
Insert into a Sorted Circular Linked List,708,Solved,17aug2025,Linked List,Medium,
All Nodes Distance K in Binary Tree,863,Solved,16aug2025,Hash Table / Tree,Medium,
Minimum Window Substring,76,Solved,16aug2025,Hash Table / String,Hard,
Delete Nodes And Return Forest,1110,Solved,14aug2025,Array / Hash Table,Medium,
Sort List,148,Solved,14aug2025,Linked List / Two Pointers,Medium,
Battleships in a Board,419,Solved,14aug2025,Array / Depth-First Search,Medium,
Check Completeness of a Binary Tree,958,Solved,08aug2025,Tree / Breadth-First Search,Medium,
String to Integer (atoi),8,Solved,04aug2025,String,Medium,
Accounts Merge,721,Solved,04aug2025,Array / Hash Table,Medium,
Exclusive Time of Functions,636,Solved,03aug2025,Array / Stack,Medium,
Longest Palindromic Substring,5,Solved,03aug2025,Two Pointers / String,Medium,
Basic Calculator II,227,Solved,26jul2025,Math / String,Medium,
Task Scheduler,621,Solved,26jul2025,Array / Hash Table,Medium,
Remove K Digits,402,Solved,26jul2025,String / Stack,Medium,
Maximum Difference by Remapping a Digit,2566,Solved,26jul2025,Math / Greedy,Easy,
Frequency of the Most Frequent Element,1838,Solved,26jul2025,Array / Binary Search,Medium,
Jump Game II,45,Solved,26jul2025,Array / Dynamic Programming,Medium,
Binary Search Tree Iterator,173,Solved,09jul2025,Stack / Tree,Medium,
Divide Two Integers,29,Solved,04jul2025,Math / Bit Manipulation,Medium,
Finding 3-Digit Even Numbers,2094,Solved,04jul2025,Array / Hash Table,Easy,
Search a 2D Matrix,74,Solved,01jul2025,Array / Binary Search,Medium,
Inorder Successor in BST II,510,Solved,26jun2025,Tree / Binary Search Tree,Medium,
String Compression,443,Solved,26jun2025,Two Pointers / String,Medium,
Flatten Nested List Iterator,341,Solved,24jun2025,Stack / Tree,Medium,
Reverse Integer,7,Solved,18jun2025,Math,Medium,
Decode String,394,Solved,18jun2025,String / Stack,Medium,
Meeting Rooms II,253,Solved,18jun2025,Array / Two Pointers,Medium,
Lowest Common Ancestor of a Binary Search Tree,235,Solved,18jun2025,Tree / Depth-First Search,Medium,
Subsets II,90,Solved,17jun2025,Array / Backtracking,Medium,
Jump Game,55,Solved,14jun2025,Array / Dynamic Programming,Medium,
Construct K Palindrome Strings,1400,Solved,14jun2025,Hash Table / String,Medium,
Random Pick with Weight,528,Solved,14jun2025,Array / Math,Medium,
Robot Collisions,2751,Solved,12jun2025,Array / Stack,Hard,
Zero Array Transformation III,3362,Solved,12jun2025,Array / Two Pointers,Medium,
Zero Array Transformation II,3356,Solved,12jun2025,Array / Two Pointers,Medium,
All Ancestors of a Node in a Directed Acyclic Graph,2192,Solved,10jun2025,Depth-First Search / Breadth-First Search,Medium,
Lowest Common Ancestor of a Binary Tree II,1644,Solved,10jun2025,Tree / Depth-First Search,Medium,
Binary Tree Cameras,968,Solved,04jun2025,Dynamic Programming / Tree,Hard,
Domino and Tromino Tiling,790,Solved,03jun2025,Dynamic Programming,Medium,
Largest Divisible Subset,368,Solved,03jun2025,Array / Math,Medium,
The Maze,490,Solved,03jun2025,Array / Depth-First Search,Medium,
Valid Number,65,Solved,27may2025,String,Hard,
Minimum Add to Make Parentheses Valid,921,Solved,27may2025,String / Stack,Medium,
Making A Large Island,827,Solved,27may2025,Array / Depth-First Search,Hard,
Find First and Last Position of Element in Sorted Array,34,Solved,27may2025,Array / Binary Search,Medium,
K Closest Points to Origin,973,Solved,26may2025,Array / Math,Medium,
Merge k Sorted Lists,23,Solved,26may2025,Linked List / Divide and Conquer,Hard,
Best Time to Buy and Sell Stock II,122,Solved,21may2025,Array / Dynamic Programming,Medium,
Car Pooling,1094,Solved,21may2025,Array / Sorting,Medium,
Find Minimum in Rotated Sorted Array,153,Solved,20may2025,Array / Binary Search,Medium,
Next Permutation,31,Solved,20may2025,Array / Two Pointers,Medium,
Copy List with Random Pointer,138,Solved,20may2025,Hash Table / Linked List,Medium,
Strobogrammatic Number,246,Solved,20may2025,Hash Table / Two Pointers,Easy,
Is Subsequence,392,Solved,20may2025,Two Pointers / String,Easy,
Kth Missing Positive Number,1539,Solved,17may2025,Array / Binary Search,Easy,
Majority Element,169,Solved,17may2025,Array / Hash Table,Easy,
Two Sum II - Input Array Is Sorted,167,Solved,17may2025,Array / Two Pointers,Medium,
Find Peak Element,162,Solved,17may2025,Array / Binary Search,Medium,
Contains Duplicate II,219,Solved,15may2025,Array / Hash Table,Easy,
Simplify Path,71,Solved,11may2025,String / Stack,Medium,
N-Queens,51,Solved,10may2025,Array / Backtracking,Hard,
Hand of Straights,846,Solved,10may2025,Array / Hash Table,Medium,
Majority Element II,229,Solved,10may2025,Array / Hash Table,Medium,
Convert Sorted List to Binary Search Tree,109,Solved,10may2025,Linked List / Divide and Conquer,Medium,
Unique Binary Search Trees II,95,Solved,10may2025,Dynamic Programming / Backtracking,Medium,
Unique Binary Search Trees,96,Solved,10may2025,Math / Dynamic Programming,Medium,
Multiply Strings,43,Solved,10may2025,Math / String,Medium,
Custom Sort String,791,Solved,09may2025,Hash Table / String,Medium,
Merge Triplets to Form Target Triplet,1899,Solved,06may2025,Array / Greedy,Medium,
Koko Eating Bananas,875,Solved,06may2025,Array / Binary Search,Medium,
Letter Combinations of a Phone Number,17,Solved,06may2025,Hash Table / String,Medium,
Valid Sudoku,36,Solved,06may2025,Array / Hash Table,Medium,
Combination Sum II,40,Solved,05may2025,Array / Backtracking,Medium,
Count Good Nodes in Binary Tree,1448,Solved,05may2025,Tree / Depth-First Search,Medium,
Top K Frequent Elements,347,Solved,05may2025,Array / Hash Table,Medium,
Find the Length of the Longest Common Prefix,3043,Solved,05may2025,Array / Hash Table,Medium,
Count Total Number of Colored Cells,2579,Solved,05may2025,Math,Medium,
Permutation in String,567,Solved,04may2025,Hash Table / Two Pointers,Medium,
